2019-10-04 14:43:14 ||| [main] ||| INFO  ||| com.objectspace.coorperation.cache.RedisCache ||| MyBatis开启二级缓存!
2019-10-04 14:43:26 ||| [main] ||| INFO  ||| com.objectspace.coorperation.cache.RedisCache ||| 尝试从Redis缓存中读取数据...
2019-10-04 14:43:27 ||| [main] ||| INFO  ||| com.objectspace.coorperation.cache.RedisCache ||| Redis缓存中不存在所需的数据，进行穿透查询!
2019-10-04 14:43:28 ||| [main] ||| INFO  ||| com.objectspace.coorperation.cache.RedisCache ||| 将数据回写Redis缓存。
2019-10-04 14:44:15 ||| [main] ||| INFO  ||| c.objectspace.coorperation.CoorperationApplication ||| Starting CoorperationApplication on DESKTOP-URDLGQF with PID 9112 (C:\NoCortY_Pad\WorkSpace\github\coorperation\target\classes started by nocor in C:\NoCortY_Pad\WorkSpace\github\coorperation)
2019-10-04 14:44:15 ||| [main] ||| INFO  ||| c.objectspace.coorperation.CoorperationApplication ||| No active profile set, falling back to default profiles: default
2019-10-04 14:44:22 ||| [main] ||| INFO  ||| com.objectspace.coorperation.cache.RedisCache ||| MyBatis开启二级缓存!
2019-10-04 14:44:32 ||| [main] ||| INFO  ||| com.objectspace.coorperation.cache.RedisCache ||| 尝试从Redis缓存中读取数据...
2019-10-04 14:44:32 ||| [main] ||| INFO  ||| com.objectspace.coorperation.cache.RedisCache ||| Redis缓存中不存在所需的数据，进行穿透查询!
2019-10-04 14:44:33 ||| [main] ||| INFO  ||| com.objectspace.coorperation.cache.RedisCache ||| 将数据回写Redis缓存。
2019-10-04 14:46:51 ||| [main] ||| INFO  ||| c.objectspace.coorperation.CoorperationApplication ||| Starting CoorperationApplication on DESKTOP-URDLGQF with PID 3552 (C:\NoCortY_Pad\WorkSpace\github\coorperation\target\classes started by nocor in C:\NoCortY_Pad\WorkSpace\github\coorperation)
2019-10-04 14:46:51 ||| [main] ||| INFO  ||| c.objectspace.coorperation.CoorperationApplication ||| No active profile set, falling back to default profiles: default
2019-10-04 14:46:57 ||| [main] ||| INFO  ||| com.objectspace.coorperation.cache.RedisCache ||| MyBatis开启二级缓存!
2019-10-04 14:47:02 ||| [main] ||| INFO  ||| com.objectspace.coorperation.cache.RedisCache ||| 尝试从Redis缓存中读取数据...
2019-10-04 14:47:02 ||| [main] ||| INFO  ||| com.objectspace.coorperation.cache.RedisCache ||| 成功命中Redis缓存并get所需数据!
2019-10-04 14:47:29 ||| [main] ||| INFO  ||| c.objectspace.coorperation.CoorperationApplication ||| Starting CoorperationApplication on DESKTOP-URDLGQF with PID 2980 (C:\NoCortY_Pad\WorkSpace\github\coorperation\target\classes started by nocor in C:\NoCortY_Pad\WorkSpace\github\coorperation)
2019-10-04 14:47:29 ||| [main] ||| INFO  ||| c.objectspace.coorperation.CoorperationApplication ||| No active profile set, falling back to default profiles: default
2019-10-04 14:47:35 ||| [main] ||| INFO  ||| com.objectspace.coorperation.cache.RedisCache ||| MyBatis开启二级缓存!
2019-10-04 14:47:45 ||| [main] ||| INFO  ||| com.objectspace.coorperation.cache.RedisCache ||| 尝试从Redis缓存中读取数据...
2019-10-04 14:47:45 ||| [main] ||| INFO  ||| com.objectspace.coorperation.cache.RedisCache ||| 成功命中Redis缓存并get所需数据!
2019-10-04 14:48:14 ||| [main] ||| INFO  ||| c.objectspace.coorperation.CoorperationApplication ||| Starting CoorperationApplication on DESKTOP-URDLGQF with PID 3332 (C:\NoCortY_Pad\WorkSpace\github\coorperation\target\classes started by nocor in C:\NoCortY_Pad\WorkSpace\github\coorperation)
2019-10-04 14:48:14 ||| [main] ||| INFO  ||| c.objectspace.coorperation.CoorperationApplication ||| No active profile set, falling back to default profiles: default
2019-10-04 14:48:21 ||| [main] ||| INFO  ||| com.objectspace.coorperation.cache.RedisCache ||| MyBatis开启二级缓存!
2019-10-04 14:48:26 ||| [main] ||| INFO  ||| com.objectspace.coorperation.cache.RedisCache ||| 尝试从Redis缓存中读取数据...
2019-10-04 14:48:27 ||| [main] ||| INFO  ||| com.objectspace.coorperation.cache.RedisCache ||| 成功命中Redis缓存并get所需数据!
2019-10-04 14:48:47 ||| [main] ||| INFO  ||| c.objectspace.coorperation.CoorperationApplication ||| Starting CoorperationApplication on DESKTOP-URDLGQF with PID 6960 (C:\NoCortY_Pad\WorkSpace\github\coorperation\target\classes started by nocor in C:\NoCortY_Pad\WorkSpace\github\coorperation)
2019-10-04 14:48:47 ||| [main] ||| INFO  ||| c.objectspace.coorperation.CoorperationApplication ||| No active profile set, falling back to default profiles: default
2019-10-04 14:48:54 ||| [main] ||| INFO  ||| com.objectspace.coorperation.cache.RedisCache ||| MyBatis开启二级缓存!
2019-10-04 14:49:23 ||| [main] ||| INFO  ||| com.objectspace.coorperation.cache.RedisCache ||| 尝试从Redis缓存中读取数据...
2019-10-04 14:49:23 ||| [main] ||| INFO  ||| com.objectspace.coorperation.cache.RedisCache ||| 成功命中Redis缓存并get所需数据!
2019-10-04 15:14:25 ||| [main] ||| INFO  ||| c.objectspace.coorperation.CoorperationApplication ||| Starting CoorperationApplication on DESKTOP-URDLGQF with PID 9660 (C:\NoCortY_Pad\WorkSpace\github\coorperation\target\classes started by nocor in C:\NoCortY_Pad\WorkSpace\github\coorperation)
2019-10-04 15:14:25 ||| [main] ||| INFO  ||| c.objectspace.coorperation.CoorperationApplication ||| No active profile set, falling back to default profiles: default
2019-10-04 15:14:31 ||| [main] ||| INFO  ||| com.objectspace.coorperation.cache.RedisCache ||| MyBatis开启二级缓存!
2019-10-04 15:14:41 ||| [main] ||| INFO  ||| com.objectspace.coorperation.cache.RedisCache ||| 尝试从Redis缓存中读取数据...
2019-10-04 15:14:42 ||| [main] ||| INFO  ||| com.objectspace.coorperation.cache.RedisCache ||| 成功命中Redis缓存并get所需数据!
2019-10-04 15:18:48 ||| [main] ||| INFO  ||| c.objectspace.coorperation.CoorperationApplication ||| Starting CoorperationApplication on DESKTOP-URDLGQF with PID 3320 (C:\NoCortY_Pad\WorkSpace\github\coorperation\target\classes started by nocor in C:\NoCortY_Pad\WorkSpace\github\coorperation)
2019-10-04 15:18:48 ||| [main] ||| INFO  ||| c.objectspace.coorperation.CoorperationApplication ||| No active profile set, falling back to default profiles: default
2019-10-04 15:18:55 ||| [main] ||| INFO  ||| com.objectspace.coorperation.cache.RedisCache ||| MyBatis开启二级缓存!
2019-10-04 15:19:00 ||| [main] ||| INFO  ||| com.objectspace.coorperation.cache.RedisCache ||| 尝试从Redis缓存中读取数据...
2019-10-04 15:19:00 ||| [main] ||| INFO  ||| com.objectspace.coorperation.cache.RedisCache ||| Redis缓存中不存在所需的数据，进行穿透查询!
2019-10-04 15:19:01 ||| [main] ||| INFO  ||| com.objectspace.coorperation.cache.RedisCache ||| 将数据回写Redis缓存。
2019-10-04 15:25:14 ||| [main] ||| INFO  ||| c.objectspace.coorperation.CoorperationApplication ||| Starting CoorperationApplication on DESKTOP-URDLGQF with PID 9432 (C:\NoCortY_Pad\WorkSpace\github\coorperation\target\classes started by nocor in C:\NoCortY_Pad\WorkSpace\github\coorperation)
2019-10-04 15:25:14 ||| [main] ||| INFO  ||| c.objectspace.coorperation.CoorperationApplication ||| No active profile set, falling back to default profiles: default
2019-10-04 15:25:21 ||| [main] ||| INFO  ||| com.objectspace.coorperation.cache.RedisCache ||| MyBatis开启二级缓存!
2019-10-04 15:25:38 ||| [main] ||| INFO  ||| com.objectspace.coorperation.cache.RedisCache ||| 尝试从Redis缓存中读取数据...
2019-10-04 15:25:38 ||| [main] ||| INFO  ||| com.objectspace.coorperation.cache.RedisCache ||| 成功命中Redis缓存并get所需数据!
